Service Code;Service Name;Role;Region;2024 Q1_WL;2024 Q2_WL;2024 Q3_WL;2024 Q4_WL;2025 Q1_WL;2025 Q2_WL;2025 Q3_WL;2025 Q4_WL;2026 Q1_WL;2026 Q2_WL;2026 Q3_WL;2026 Q4_WL;2024 Q1_HC;2024 Q2_HC;2024 Q3_HC;2024 Q4_HC;2025 Q1_HC;2025 Q2_HC;2025 Q3_HC;2025 Q4_HC;2026 Q1_HC;2026 Q2_HC;2026 Q3_HC;2026 Q4_HC;2024 Q1_110A;2024 Q2_110A;2024 Q3_110A;2024 Q4_110A;2025 Q1_110A;2025 Q2_110A;2025 Q3_110A;2025 Q4_110A;2026 Q1_110A;2026 Q2_110A;2026 Q3_110A;2026 Q4_110A;2024 Q1_AD10;2024 Q2_AD10;2024 Q3_AD10;2024 Q4_AD10;2025 Q1_AD10;2025 Q2_AD10;2025 Q3_AD10;2025 Q4_AD10;2026 Q1_AD10;2026 Q2_AD10;2026 Q3_AD10;2026 Q4_AD10;2024 1Q_Tops_110A;2024 2Q_Tops_110A;2024 3Q_Tops_110A;2024 4Q_Tops_110A;2024 1Q_Tops_AD10;2024 2Q_Tops_AD10;2024 3Q_Tops_AD10;2024 4Q_Tops_AD10;2025 1Q_Tops_110A;2025 2Q_Tops_110A;2025 3Q_Tops_110A;2025 4Q_Tops_110A;2025 1Q_Tops_AD10;2025 2Q_Tops_AD10;2025 3Q_Tops_AD10;2025 4Q_Tops_AD10;2026 1Q_Tops_110A;2026 2Q_Tops_110A;2026 3Q_Tops_110A;2026 4Q_Tops_110A;2026 1Q_Tops_AD10;2026 2Q_Tops_AD10;2026 3Q_Tops_AD10;2026 4Q_Tops_AD10
DB1300;CDOC;RTLM; ;31.942708901098907;25.149498427838825;33.92954951948052;25.925670310245312;31.36568004910714;26.26733044615385;26.848318824675328;34.17377155194806;30.7450605;28.225924351648352;24.135818324675324;22.615924746753247;6.450006212454213;6.711547472527473;7.300008080808081;7.300008080808081;7.300014642857144;7.300013208791208;7.300011818181818;7.300011818181818;7.300014642857143;7.300013208791209;7.300011818181817;7.300011818181817;2.0000024322344325;1.9999985934065931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.892324659340662;10.99999226373626;9.000006233766236;9.000006233766236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1300;CDOC;SCI; ;1.9999985934065936;1.9999985934065931;1.999999494949495;1.999999494949495;2.0007222991071427;2.000722747252748;2.000721298701299;2.000721298701299;2.0007222991071427;2.000722747252747;2.0007231818181817;2.0007231818181817;1.2938462124542125;1.5135384908424907;1.5200007503607504;1.5200007503607504;1.5200006919642857;1.5200028131868129;1.520001103896104;1.519999220779221;1.5200026339285713;1.5200028131868129;1.520001103896104;1.520001103896104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1300;CDOC;TT; ;24.64695920293041;26.768272049816847;27.38301147330448;22.893252632034628;19.514991750000007;18.049890764835165;16.813405889610387;15.560720759740262;15.033605243303574;17.173684509890112;15.497736525974029;14.441335824675324;12.110010446886449;12.110012366300367;12.110010505050504;12.110010505050507;12.110021316964286;12.110021406593406;12.110017727272728;12.110017727272728;12.110025200892856;12.110021406593406;12.110017727272728;12.11001772727273;5.815392307692309;5.99999578021978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.000003648351649;3.538458754578755;4.000002770562771;4.00000277056277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1300;CDOC;WRI; ;116.02318229010989;117.3775019413919;115.94347927272726;110.46198653823954;117.8548900379464;123.7849331076923;98.71521455194808;106.72601844155844;99.00771533705358;87.45303022417582;88.80584054545456;88.29128017532469;49.87773463736266;49.694680131868125;51.65839255411256;52.57278767676768;53.50009848214289;52.65009019780224;52.65007623376624;52.65007623376624;52.65010459821429;52.65009019780224;52.65007623376624;52.65007623376624;20.476017860805865;22.39075416849817;22.960012727272723;22.960012727272726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.892321010989012;8.461532805860806;9.000006233766236;9.000006233766236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1301;OMD;COD; ;12.281226007326008;0.0006199706959706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.042312586080587;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9692342271062275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.000003648351649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1301;OMD;SCI; ;11.599999135531135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.150003736263736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.938468454212455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0000012161172165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1301;OMD;SCS; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1400;EDO;CTDM; ;62.89546452600733;-0.0398220805860805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.753859355311352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.83081948717948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1400;EDO;CTM; ;102.81883795897436;0.0661737142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.267738358974352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.27699397802192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1400;EDO;DBD; ;6.938293597069597;-0.0127007619047619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4999996483516483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.000008512820514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1400;EDO;DMP; ;10.604867856410255;0.0027677948717948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8000033406593403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.276935604395607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1400;EDO;PSA; ;22.4361842007326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.669994974358974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.92309702564103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1401;EDCO;CTM; ;2.13006057582416;130.4487285831502;123.41990541269844;133.86103130447324;123.64406753571431;124.6010485582418;113.25983218181818;100.99591145454546;95.46511980803572;94.78946985494504;92.16328334415584;86.14980135064935;0.0;54.92691994139199;53.59001118326118;54.06728217893218;56.58539229910709;57.73270094505486;57.6099933116884;57.01009441558442;57.00997366071445;57.00993171428563;57.00999272727282;57.00999272727282;0.0;73.9999479560442;17.600010678210673;17.60001067821067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1401;EDCO;PSA; ;-1.202324526007331;32.066820316483515;32.25776891774891;33.470684118326126;31.80998477678572;31.073060156043955;28.06777805194805;24.354097370129868;21.739604470982144;20.443113534065937;19.866644149350652;18.71037253246753;0.0;2.669998813186813;2.6699973881673884;2.6699973881673884;2.6700008705357146;2.6700013186813183;2.66999987012987;2.66999987012987;2.6700028125;2.6700013186813183;2.6699998701298706;2.6699998701298706;0.0;19.99998593406593;4.000002770562771;4.000002770562771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB1401;EDCO;SDM; ;-0.5880558329670222;88.79581790915752;85.69132640404044;87.71863684704189;76.71072944196428;73.79373538021977;70.11877817532469;64.62803831818181;55.24421991294643;52.88156316263735;51.00041537662337;47.8086025;0.0;18.50615790476191;17.41818721500722;18.100005353535355;18.100031517857147;18.09998861538461;18.100007272727275;18.10003740259741;19.359999308035707;19.35998571428572;19.360004545454547;19.360004545454547;0.0;59.67688205128217;14.000009696969691;14.000009696969691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
